Ticker,Signal,Price,1d,5d,1mo,3mo,6mo,YTD,1y,RVOL,RSI,ShortRatio,High52,Low52,SMA50,SMA200,BB_Upper,BB_Lower,Is_Squeeze,BB_Width,GC_Just_Now,DC_Just_Now,Above_SMA50
BALL,🐻,56.5099983215332,0.28393939972436694,1.2723998103589542,-7.844098821313283,-14.794252986880263,18.782419336241226,6.239663802676417,10.780012816113155,0.5579153760522502,33.845017845147225,2.68,67.5581283569336,46.08488845825195,59.96599983215332,54.96372840881347,62.499889664823414,53.83111085397542,False,0.14903643520966953,False,False,False
VSH,🐂🔥🚀,47.25,12.046483404392665,27.87550480213078,67.61262541628949,142.33324444477486,304.9256462661147,210.80152443578118,248.62424725425737,1.8095219159152591,84.57711112313089,4.16,47.25,11.668808937072754,26.270399971008302,18.579142637252808,45.08096971195009,23.88703050930235,False,0.6146021092291101,False,False,True
PFE,🐻🤐,25.899999618530273,-0.19268263175001105,2.2502948935691176,-2.490653210689,-2.993646357905526,9.707127918811747,6.3087248637404265,18.82471413806691,0.5903519998750455,50.608384278428055,3.98,28.086383819580078,21.609878540039062,26.462429656982422,25.03611391067505,26.384435939525826,25.363563823962945,True,0.03945551983569288,False,False,False
CRM,🐻,180.07000732421875,2.132612907770827,0.3287339039027831,1.0720720828743393,-2.6424570819965068,-19.771153650306495,-28.82250385318883,-33.57968163457542,0.8634573760880503,45.071975354664495,5.16,275.13677978515625,164.9600067138672,181.7774673461914,221.6533236694336,190.20496282195708,167.3950387039218,False,0.12757228199499632,False,False,False
BTI,🐂🔥,65.36000061035156,-0.5629130194514149,-1.4920842298974073,12.515063588685143,7.1077084436814,22.726962118506506,17.25973389412295,53.133238726602215,0.6810753160387716,71.86526097957055,1.73,66.69999694824219,42.44581604003906,59.37905471801758,56.07853471755981,68.96670689715056,54.47729258405061,False,0.23475283325223903,False,False,True
CSGP,🐻🤐,33.95000076293945,0.05894623514229957,2.2590360926654287,-6.8331447793866475,-30.925738130315644,-48.18375686450499,-48.31785735855017,-54.11541864692545,0.5202122234150163,41.24846209696435,2.77,96.83000183105469,31.850000381469727,37.713600158691406,62.00000005722046,36.39160600212428,31.521394104687246,True,0.1434250258353278,False,False,False
COMP,,8.399999618530273,-0.8264539113537795,6.194687491409697,7.00636586725473,-10.922594414765587,-8.496739223480583,-20.000003633045015,40.70351614301505,0.5880081410637417,62.88461155792687,2.94,13.579999923706055,5.820000171661377,7.788800010681152,9.238600008487701,9.197192888487832,6.917807073365195,False,0.28288995600599876,False,False,True
BGC,🐂🤐,11.1899995803833,0.5390787540472249,-1.7559328964963645,-0.7098569133176932,20.832593591577695,35.255986111943635,25.428014649132745,20.975350693572015,0.7321926230774459,50.0,2.7,11.8100004196167,8.273200988769531,10.752000064849854,9.63825930595398,11.49313017017671,10.960869921376025,True,0.047408946880776376,False,False,True
HON,🔥🤐,227.9199981689453,1.8409271943730388,4.921052640821388,7.506964721554006,-5.459386682711034,22.414362400959646,17.57727278022688,11.292426471908563,1.273005461188659,75.98566702295516,3.32,246.68426513671875,186.1873016357422,221.73870056152344,209.43722648620604,224.9012332165478,205.1459652697803,True,0.09187488264684303,False,False,True
CTRA,,32.560001373291016,0.0,-7.970603758306913,-2.7479037679934817,6.970877179944153,28.449520779081627,23.298011024639713,36.129459531336785,0.0,58.72519002726092,1.61,36.310001373291016,22.2279109954834,33.149273529052735,27.214029531478882,36.66052054316118,30.12047978490279,False,0.19586531277250144,False,False,False
EXK,🐻,9.229999542236328,-1.071815458600824,-2.739728505295857,-4.352332568878513,-30.075760033286127,30.55161694667079,2.3281493771090265,155.67866510952692,0.8333601780136598,51.07033188746174,2.75,14.119999885559082,3.559999942779541,9.566399993896484,9.144099996089935,11.430982008036175,8.021017847005329,False,0.35060293917769725,False,False,False
VICI,,28.5,-0.07012783114534411,0.0,0.28149163790039977,-4.346654880979755,2.1932743235004737,2.8910594271260908,-3.8803135508923883,1.4995154023147246,57.34766510523912,4.25,32.40241241455078,26.610000610351562,28.10596450805664,29.062295684814455,29.143412537756777,27.84258752327838,False,0.04565419622662208,False,False,True
TAP,🐻🤐,42.54999923706055,0.04702670664878522,2.0873294758031227,0.2591908904594904,-13.83424329287704,-4.473092988507115,-9.307817427358902,-18.070650836618693,0.5952221168884563,62.85311571581129,6.21,53.825809478759766,40.72999954223633,42.75759994506836,45.909230670928956,43.509625433550084,40.58837413920382,True,0.06947255128985709,False,False,False
LUNR,🐂🔥🚀,38.2599983215332,11.740643825945089,13.902941791399545,49.86289577950004,102.43385763892638,375.27947099390747,113.98210356455527,237.38975138198674,1.2089075412503096,73.70547018249258,1.78,38.2599983215332,8.050000190734863,25.24799991607666,16.203574991226198,39.44211124201441,20.44988857488012,False,0.6342156790622612,False,False,True
LITE,🐂,946.9000244140625,-1.8247771473237429,6.996773408649891,7.402115226320355,37.57682269219773,305.9766772908153,145.2410091264247,1149.7031362884609,0.48381957999609454,47.8022660176065,1.62,1053.0899658203125,72.27999877929688,846.8743994140625,442.62147506713865,1066.4814146998006,801.1085877416059,False,0.28418745721629063,False,False,True
INFQ,⚡🐂,16.350000381469727,11.22449383410621,43.799477097934634,23.21024730563658,35.91023062667661,0.0,4.874921240816526,4.874921240816526,5.423176099636872,64.5461059243759,0.45,17.420000076293945,8.8100004196167,12.168000049591065,0.0,15.28453416741251,10.14646596991659,False,0.40407912938932855,False,False,True
AL,🐂🔥🚀,65.0,0.030773533446228327,0.09238921518040334,0.3396128818289442,1.5591585245427162,2.757192399204012,1.6699802141832563,15.919541469290474,0.8465665156766103,71.01471710213514,1.38,65.0,53.79482650756836,64.59926040649414,62.200152683258054,65.03659799279934,64.45040228185887,False,0.009054124502028433,False,False,True
SMR,🐻,11.399999618530273,0.6178260838092026,8.77862706564228,-4.682277741058128,-15.115418023208582,-39.03743768223084,-30.10423058360543,-62.30158827772787,0.9754608641723692,45.379143144019956,1.81,53.43000030517578,9.15999984741211,11.45159996032715,22.98254998207092,13.671917269941902,10.057082726243399,False,0.3046765177023581,False,False,False
DD,,48.119998931884766,2.057258482745676,-1.069079901909576,4.275733876668909,-5.022880729725794,31.33630731505382,18.680736706010617,74.18537509793671,0.5665455206025036,59.39900825740736,3.41,51.121185302734375,27.145959854125977,46.55563583374023,40.47340898513794,52.00737789308923,43.8551167663346,False,0.17008239052650628,False,False,True
MHK,,102.4000015258789,0.06840583755660164,5.708680316406821,-4.956373161100964,-18.63329140450032,-1.2345667202249964,-6.4925581879787755,1.2858586264871,0.39757444422267213,61.66822702554285,3.98,139.75,94.33000183105469,101.66300003051758,115.99304996490478,108.32589410260148,93.2301056532579,False,0.14979249903380504,False,False,True
MSTR,🐂🛒🤐,159.88999938964844,-3.008799836350997,-4.044893053867562,-6.508013451502846,28.3123333652934,-9.732967322261343,1.7370804682650014,-56.729183198294294,0.8506108718530616,35.51786359915977,2.18,455.8999938964844,106.98999786376953,154.8438006591797,212.53260051727295,197.34736830967387,153.17863266688863,True,0.252014033308408,False,False,True
KVYO,🐻🧊,14.869999885559082,-0.26827607151163074,1.7796046200658693,-23.547561427900952,-11.011366246113962,-44.74173181019507,-49.28376521032487,-55.598688742019064,0.8401676029155056,17.465759380647384,3.76,35.91999816894531,14.239999771118164,18.07520000457764,24.910299954414366,23.379619552961636,10.750380370744416,False,0.7400667571314695,False,False,False
CVS,🐂🔥,93.26000213623047,-0.06429228331542486,-2.8440418671677796,19.656144745878716,26.824694832836084,24.740404256558914,18.373414375681563,58.9198839359059,0.535517535058773,73.56514935333917,2.36,98.11000061035156,57.2951774597168,80.3093194580078,76.74588800430298,102.09812956574629,76.36587189909747,False,0.2883747697623815,False,False,True
PSLV,🐻,24.239999771118164,-1.7430089333034902,-3.0400009155273438,-1.222498505366225,-15.686957317849865,44.97608113989182,0.04127209686654809,115.27530442621755,0.6528445361180195,52.731999667165205,0.0,36.36000061035156,11.100000381469727,24.58620002746582,21.417400007247924,28.30022661304933,21.882773379321275,False,0.25576204032057503,False,False,False
AEP,🐂,131.58999633789062,1.5276565991937248,3.062340243866951,-1.6212636045485729,0.11757939685763026,10.499314719334114,15.35590103200401,31.956846276968875,0.7165847004382818,45.74472757867646,7.46,136.1611328125,98.09356689453125,131.37492126464844,119.79171119689941,137.57826309657673,125.17661208652875,False,0.0943971144315071,False,False,True
STT,🐂🤐🚀,153.9499969482422,0.16916813241320589,0.13658868711791616,2.129488747579816,21.809800159462906,37.682538995885665,20.073298828099432,64.68591754757182,0.8386744147470951,65.37453180526936,0.02,154.07000732421875,93.38369750976562,140.57298263549805,124.78221351623534,155.59731088845302,147.7476903322501,True,0.051753749193920714,False,False,True
BEAM,,28.639999389648438,3.5055992435125845,6.825811115851618,5.643669291223354,-11.303813633909575,39.02912067618656,5.526897692459493,70.17230849363996,0.5935028608608743,45.25691592828119,9.71,35.40999984741211,15.829999923706055,27.806900024414062,25.73525001525879,33.490519799188654,25.953980170293764,False,0.2535655824429171,False,False,True
CENX,🐂,65.05000305175781,7.591802905706563,18.445020430719065,7.0958203065361,21.566071934599076,148.37724981015728,58.89107287199472,314.8597052659851,1.3666516865990999,58.34391290677301,4.53,67.94000244140625,15.489999771118164,59.390199966430664,41.3225999546051,65.21886243742165,55.40313692170921,False,0.1627518291499685,False,False,True
PANW,🐂🔥🚀,260.5799865722656,3.0286210891886847,5.263576392597943,45.950485253269505,83.93448855806218,40.800765256232545,45.27512608896562,39.53412935596553,0.8457451085756443,91.03864879148803,3.31,260.5799865722656,141.6699981689453,183.9776007080078,187.57935020446777,271.4404834153959,153.39851652356896,False,0.5557021220216863,False,False,True
HOOD,🤐,73.63999938964844,-3.0031596868893193,-4.549581421658283,-13.068114525400048,0.34064586739220243,-30.665662344013505,-36.08193735367088,16.57432566754487,0.8162507531143013,44.8677167515723,0.95,152.4600067138672,63.16999816894531,76.21130004882812,104.53107482910156,83.36296584066422,70.6350337320897,True,0.1652999668032884,False,False,False
QBTS,⚡🐂,29.399999618530273,14.219113752747,54.24973999114774,59.00486740110077,57.55626934052551,43.34470643803158,4.51475469482048,56.38298304062632,4.660130073054526,66.81205474711292,1.68,44.779998779296875,12.979999542236328,18.585399913787843,22.978099970817567,27.055002765131274,15.823997326421459,False,0.523846424344319,False,False,True
LQDA,🐂🔥🚀,60.97999954223633,-1.5975498773042691,7.038789249798986,63.441429369364414,81.65028327848972,113.51540855228161,94.20382255753222,297.2638307934533,0.5958024676254152,88.50102508561528,9.42,61.970001220703125,12.0,42.08400016784668,33.44155014038086,69.04758337196965,29.056416719583083,False,0.8152810612220901,False,False,True
NNE,🐂,26.729999542236328,6.57894586742269,10.68322966649831,9.124305476336847,5.153420385565047,-8.86464503318416,-3.187254794138989,-25.460125244615067,0.8774039696979041,57.63204974064669,4.62,56.630001068115234,19.0,23.523400077819826,31.779425115585326,29.469333174983106,21.081166741093554,False,0.3318727390556171,False,False,True
FLR,🐻,44.869998931884766,0.6279407453211784,1.172492617033798,-6.966619618996924,-15.499057963715979,10.653513627876885,7.601913935125449,9.332353632839114,0.591891864459373,31.025891305454635,3.82,56.77000045776367,39.630001068115234,47.43860000610351,45.22305002212524,56.40228650590086,39.3437134025464,False,0.35632972906786586,False,False,False
SM,🐂,33.77000045776367,1.5639111511689379,1.8088704309308596,17.338428255957698,51.64079339115914,86.77370611264566,78.03722900670861,51.074510822500486,0.7074187689391287,60.364268707435166,2.69,34.810001373291016,17.421157836914062,29.995200080871584,23.812509298324585,34.98778081954267,27.738219203345515,False,0.23115013275362217,False,False,True
LEVI,🐂,22.020000457763672,1.241381415005388,5.057258681257641,-1.2998611166325336,0.284135526131087,11.328637368541948,7.104351862099792,27.39427408806859,0.7172569203327751,49.22394987942676,2.34,24.187969207763672,16.291086196899414,20.891264495849608,21.11741786956787,23.22515586796452,20.618844185441244,False,0.11889023261329099,False,False,True
LIN,🐂🚀,517.5800170898438,0.5966856360320827,1.3154351350608666,1.426617572216863,3.039389639658112,27.59323845576936,21.022243179037197,14.308416054423548,0.7152396716981039,68.09762313212605,3.06,517.5800170898438,388.07647705078125,499.9505993652344,462.6760949707031,519.4382978082847,491.80870536554346,False,0.054644596930373976,False,False,True
CNK,,26.43000030517578,-0.6390980220149618,-1.490867013297483,-7.198031144699854,3.326507998765176,-8.463050949344616,12.679896773421303,-17.572722784350816,1.1516111179436723,41.3361228124735,4.71,33.44965744018555,21.860868453979492,28.08580005645752,26.46341199874878,29.572349007504364,24.985651175601106,False,0.16814024768171704,False,False,False
